Descripción,Unidad,Costo,Familia,Subfamilia
"Aceite hidráulico H-300 AW 68, de 5 litros",l,$26.69,Combustibles y lubricantes,Aceites hidráulicos
"Aceite lubricante para motor SAE 25W50, de 5 litros",l,$70.59,Combustibles y lubricantes,Aceites de motor
Adhesivo base látex 2050 (Rendimiento hasta 4.62 m2/l),l,$55.09,Concretos y morteros,Adhesivos para loseta
Agua de toma municipal,m³,$83.05,Instalaciones hidráulicas,Agua
"Alambre de cobre THW-LS / THHW-LS CE RoHS, calibre 10, código 300888",m,$14.23,Instalaciones eléctricas,Conductores
"Alambre ferretero galvanizado calibre 10.5, clave 4708",m,$37.27,Aceros,Alambrón y alambre
"Alambre recocido de acero calibre 18, clave 1201",kg,$26.70,Aceros,Alambrón y alambre
"Alambrón de acero para construcción de 1/4"", clave 2341",kg,$20.24,Aceros,Alambrón y alambre
"Alfombra linea Luxor, color Cream Amber modelo 25026 de rizo texturizado",m²,$550.65,Pisos y azulejos,Alfombra
"Anclas de acero de 3/4"" x 75 cm, marca POLESA.",pieza,$106.33,Ferretería,Anclas y taquetes
"Ángulo de acero A-36 de 3/16"" de espesor de 1"" x 1""",kg,$15.56,Aceros,Ángulos
"Angulo de amarre cal. 26 de acero galvanizado de 2.6 cm (1"") de ancho, 3.05 m (10') de largo",m,$6.73,Aceros,Ángulos
Anillo precolado para registro de 0.40x0.60x1.00 m,pieza,"$1,965.89",Mampostería,Registros y brocales
Arena,m³,$343.08,Agregados,Arena
"Asiento elongado de cierre lento, color blanco, modelo Cadet",pieza,"$1,124.00",Instalaciones sanitarias,Accesorios sanitarios
"Azulejo blanco de 20x30 cm, modelo Astratto",m²,$116.38,Pisos y azulejos,Azulejo
Bajo Alfombra,m²,$13.24,Pisos y azulejos,Alfombra
Base precolada para registro de 0.40x0.60x1.00 m,pieza,$747.02,Mampostería,Registros y brocales
"Biodegestor autolimpiable de polietileno con capacidad de 1,300 litros",pieza,"$9,139.06",Instalaciones sanitarias,Fosas sépticas
Block de concreto de 15x20x40 cm,pieza,$9.42,Mampostería,Block
"Bomba centrífuga de 1/2 HP con salida 1"" x 1"" NPT, 127v, modelo BCHP.50",pieza,"$2,152.57",Instalaciones hidráulicas,Bombas de agua
"Bomba centrífuga de 3/4 HP con salida 1"" x 1"" NPT, 127v, modelo BCHP.75",pieza,"$3,173.79",Instalaciones hidráulicas,Bombas de agua
"Bovedilla de cemento-arena de 15x70x25 cm, 18 Kg/pza",pieza,$15.97,Mampostería,Bovedilla
