Descripción,Unidad,Costo,Familia,Subfamilia
"Aceite hidráulico H-300 AW 68, de 5 litros",l,$79.48,Combustibles y lubricantes,Aceites hidráulicos
"Aceite lubricante para motor SAE 25W50, de 5 litros",l,$148.17,Combustibles y lubricantes,Aceites de motor
Adhesivo base látex 2050 (Rendimiento hasta 4.62 m2/l),l,$72.37,Concretos y morteros,Adhesivos para loseta
Agua de toma municipal,m³,$115.56,Instalaciones hidráulicas,Agua
"Alambre de cobre THW-LS / THHW-LS CE RoHS, calibre 10, código 300888",m,$12.74,Instalaciones eléctricas,Conductores
"Alambre ferretero galvanizado calibre 10.5, clave 4708",m,$44.96,Aceros,Alambrón y alambre
"Alambre recocido de acero calibre 18, clave 1201",kg,$24.23,Aceros,Alambrón y alambre
"Alambrón de acero para construcción de 1/4"", clave 2341",kg,$20.09,Aceros,Alambrón y alambre
"Alfombra linea Luxor, color Cream Amber modelo 25026 de rizo texturizado",m²,$756.15,Pisos y azulejos,Alfombra
"Anclas de acero de 3/4"" x 75 cm, marca POLESA.",Pieza,$142.54,Ferretería,Anclas y taquetes
"Ángulo de acero A-36 de 3/16"" de espesor de 1"" x 1""",kg,$28.41,Aceros,Ángulos
"Angulo de amarre cal. 26 de acero galvanizado de 2.6 cm (1"") de ancho, 3.05 (10') de largo",m,$9.46,Aceros,Ángulos
Anillo precolado para registro de 0.40x0.60x1.00,Pieza,"$2,886.19",Mampostería,Registros y brocales
Arena,m³,$437.73,Agregados,Arena
"Asiento elongado de cierre lento, color blanco, modelo Cadet EL",Pieza,"$1,082.32",Instalaciones sanitarias,Accesorios sanitarios
"Azulejo blanco de 20 x 30 cm, modelo Astratto, marca Interceramic",m²,$160.25,Pisos y azulejos,Azulejo
Bajo Alfombra,m²,$11.45,Pisos y azulejos,Alfombra
Base precolada para registro de 0.40x0.60x1.00,Pieza,"$1,065.25",Mampostería,Registros y brocales
"Biodegestor autolimpiable de polietileno con capacidad de 1,300 litros",Pieza,"$12,928.47",Instalaciones sanitarias,Fosas sépticas
Block de concreto de 15x20x40 cm,Pieza,$11.96,Mampostería,Block
"Bomba centrífuga de 1/2 HP con salida 1"" x 1"" NPT, 127v, modelo BCHP.50",Pieza,"$2,448.18",Instalaciones hidráulicas,Bombas de agua
"Bomba centrífuga de 3/4 HP con salida 1"" x 1"" NPT, 127v, modelo BCHP.75",Pieza,"$4,232.15",Instalaciones hidráulicas,Bombas de agua
"Bovedilla de cemento-arena de 15x70x25 cm, 18 Kg/pza",Pieza,$23.97,Mampostería,Bovedilla
"Bovedilla de concreto ligero de 15x63x20, peso de 115 kg/m2",Pieza,$37.17,Mampostería,Bovedilla
"Brazo para luminaria tipo ""C"" de 1.50 de longitud y 1.25"" de diametro, cédula 30",Pieza,$285.69,Instalaciones eléctricas,Postes y brazos
"Brida Fo.Fo. roscada de 10""(256 mm) de diámetro",Pieza,"$3,397.21",Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 2""(51 mm) de diámetro",Pieza,$480.18,Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 2-1/2""(63 mm) de diámetro",Pieza,$613.71,Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 3""(76 mm) de diámetro",Pieza,$778.69,Instalaciones hidráulicas,Conexiones
